iter	Passed	Remaining
0	0	734
1	1	687
2	2	677
3	2	665
4	3	665
5	4	663
6	4	654
7	5	651
8	5	642
9	6	638
10	7	635
11	7	642
12	8	641
13	9	640
14	9	634
15	10	630
16	10	626
17	11	625
18	12	623
19	12	622
20	13	622
21	13	620
22	14	620
23	15	617
24	15	616
25	16	614
26	17	612
27	17	611
28	18	610
29	18	608
30	19	607
31	20	607
32	20	606
33	21	604
34	21	602
35	22	603
36	23	607
37	23	606
38	24	605
39	25	604
40	25	603
41	26	601
42	26	600
43	27	599
44	28	598
45	28	597
46	29	596
47	30	595
48	30	595
49	31	594
50	31	593
51	32	592
52	33	591
53	33	590
54	34	589
55	34	589
56	35	587
57	36	587
58	36	586
59	37	586
60	38	587
61	38	588
62	39	588
63	40	586
64	40	586
65	41	585
66	41	584
67	42	584
68	43	583
69	43	582
70	44	582
71	45	581
72	45	580
73	46	580
74	47	579
75	47	578
76	48	577
77	48	577
78	49	576
79	50	575
80	50	574
81	51	573
82	51	573
83	52	572
84	53	572
85	54	574
86	54	573
87	55	573
88	55	572
89	56	571
90	57	571
91	57	570
92	58	569
93	58	566
94	59	566
95	60	565
96	60	565
97	61	565
98	61	564
99	62	563
100	63	562
101	63	562
102	64	561
103	65	560
104	65	559
105	66	558
106	66	557
107	67	557
108	68	556
109	68	556
110	69	556
111	69	554
112	70	553
113	71	551
114	71	549
115	72	548
116	72	548
117	73	546
118	73	545
119	74	544
120	74	543
121	75	542
122	75	541
123	76	540
124	77	539
125	77	538
126	78	537
127	78	537
128	79	537
129	80	536
130	80	535
131	81	534
132	81	533
133	82	532
134	83	531
135	83	529
136	84	529
137	84	529
138	85	527
139	85	526
140	86	525
141	86	524
142	87	523
143	87	522
144	88	521
145	88	519
146	89	518
147	89	517
148	90	516
149	91	515
150	91	514
151	92	513
152	92	512
153	93	511
154	93	510
155	94	509
156	94	508
157	95	506
158	95	505
159	96	504
160	96	503
161	97	502
162	97	500
163	97	499
164	98	498
165	99	498
166	99	498
167	100	497
168	100	496
169	101	495
170	101	494
171	102	493
172	103	492
173	103	491
174	104	490
175	104	489
176	105	488
177	105	487
178	106	486
179	106	486
180	107	485
181	107	483
182	108	483
183	108	482
184	109	480
185	109	479
186	110	478
187	110	477
188	111	476
189	111	475
190	112	474
191	112	474
192	113	473
193	113	473
194	114	473
195	115	472
196	115	472
197	116	471
198	116	470
199	117	469
200	118	469
201	118	468
202	119	467
203	119	467
204	120	468
205	121	467
206	121	466
207	122	466
208	123	465
209	123	464
210	124	463
211	124	463
212	125	462
213	125	461
214	126	460
215	126	459
216	127	458
217	127	457
218	128	456
219	128	455
220	129	455
221	129	455
222	130	454
223	131	453
224	131	453
225	132	452
226	132	451
227	133	451
228	133	450
229	134	449
230	135	449
231	135	448
232	136	448
233	136	447
234	137	447
235	137	446
236	138	445
237	139	445
238	139	444
239	140	444
240	140	443
241	141	442
242	141	441
243	142	441
244	142	440
245	143	439
246	144	439
247	144	438
248	145	438
249	146	438
250	146	437
251	147	436
252	147	435
253	148	434
254	148	434
255	149	433
256	149	432
257	150	431
258	150	430
259	151	430
260	151	429
261	152	428
262	152	428
263	153	427
264	153	426
265	154	425
266	154	425
267	155	424
268	156	423
269	156	423
270	157	422
271	157	422
272	158	421
273	158	420
274	159	420
275	160	420
276	160	419
277	161	419
278	162	418
279	162	418
280	163	417
281	163	416
282	164	416
283	164	415
284	165	414
285	165	414
286	166	413
287	167	412
288	167	412
289	168	411
290	168	411
291	169	410
292	169	409
293	170	409
294	170	408
295	171	407
296	172	407
297	172	406
298	173	405
299	173	405
300	174	404
301	174	404
302	175	403
303	176	403
304	176	402
305	177	402
306	177	401
307	178	400
308	178	399
309	179	398
310	179	398
311	180	397
312	180	396
313	181	396
314	181	395
315	182	394
316	182	393
317	183	393
318	183	392
319	184	391
320	184	391
321	185	390
322	186	390
323	186	389
